experiment_id,model,input_mode,is_baseline,split,sample_id,speaker_id,noise_id,noise_category,target_snr_db,input_snr_db,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,pesq_error,output_rms,clipping_count,nonfinite_count
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_010__tank_engine_t90__-10dB,SPK_010,tank_engine_t90,STATIONARY,-10.0,-9.95,-9.95,0.0,-10.21,0.5028,1.0133,,0.3718,382,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_010__tank_engine_t90__-10dB,SPK_010,tank_engine_t90,STATIONARY,-10.0,-9.95,-4.52,5.43,-4.77,0.4683,1.0151,,0.2196,2,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__tank_engine_t90__-10dB,SPK_010,tank_engine_t90,STATIONARY,-10.0,-9.95,0.29,10.24,-3.2,0.4645,1.0205,,0.1219,4,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__tank_engine_t90__-10dB,SPK_010,tank_engine_t90,STATIONARY,-10.0,-9.95,0.79,10.74,-2.8,0.4817,1.019,,0.114,4,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__tank_engine_t90__-10dB,SPK_010,tank_engine_t90,STATIONARY,-10.0,-9.95,-4.56,5.39,-5.19,0.5126,1.0201,,0.2178,29,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__tank_engine_t90__-10dB,SPK_010,tank_engine_t90,STATIONARY,-10.0,-9.95,-7.69,2.26,-8.23,0.4793,1.0222,,0.2936,15,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_010__diesel_idle_apc__-5dB,SPK_010,diesel_idle_apc,STATIONARY,-5.0,-5.0,-5.0,0.0,-5.03,0.6191,1.0133,,0.2303,28,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_010__diesel_idle_apc__-5dB,SPK_010,diesel_idle_apc,STATIONARY,-5.0,-5.0,-0.14,4.85,-0.17,0.6029,1.0169,,0.1609,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__diesel_idle_apc__-5dB,SPK_010,diesel_idle_apc,STATIONARY,-5.0,-5.0,4.59,9.59,2.74,0.5827,1.0257,,0.0892,1,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__diesel_idle_apc__-5dB,SPK_010,diesel_idle_apc,STATIONARY,-5.0,-5.0,4.38,9.38,2.44,0.6065,1.0247,,0.0862,1,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__diesel_idle_apc__-5dB,SPK_010,diesel_idle_apc,STATIONARY,-5.0,-5.0,3.96,8.96,3.45,0.6423,1.026,,0.1277,4,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__diesel_idle_apc__-5dB,SPK_010,diesel_idle_apc,STATIONARY,-5.0,-5.0,2.51,7.51,2.12,0.6362,1.0265,,0.1369,5,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_010__generator_hum_50hz__-5dB,SPK_010,generator_hum_50hz,STATIONARY,-5.0,-5.0,-5.0,0.0,-5.03,0.6191,1.0133,,0.2303,28,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_010__generator_hum_50hz__-5dB,SPK_010,generator_hum_50hz,STATIONARY,-5.0,-5.0,-0.14,4.85,-0.17,0.6029,1.0169,,0.1609,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__generator_hum_50hz__-5dB,SPK_010,generator_hum_50hz,STATIONARY,-5.0,-5.0,4.59,9.59,2.74,0.5827,1.0257,,0.0892,1,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__generator_hum_50hz__-5dB,SPK_010,generator_hum_50hz,STATIONARY,-5.0,-5.0,4.38,9.38,2.44,0.6065,1.0247,,0.0862,1,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__generator_hum_50hz__-5dB,SPK_010,generator_hum_50hz,STATIONARY,-5.0,-5.0,3.96,8.96,3.45,0.6423,1.026,,0.1277,4,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__generator_hum_50hz__-5dB,SPK_010,generator_hum_50hz,STATIONARY,-5.0,-5.0,2.51,7.51,2.12,0.6362,1.0265,,0.1369,5,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_010__helicopter_rotor_dhruv__+10dB,SPK_010,helicopter_rotor_dhruv,PERIODIC_ROTOR,10.0,10.0,10.0,0.0,10.0,0.7904,1.1487,,0.1185,0,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_010__helicopter_rotor_dhruv__+10dB,SPK_010,helicopter_rotor_dhruv,PERIODIC_ROTOR,10.0,10.0,17.96,7.96,17.96,0.813,1.2828,,0.1139,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__helicopter_rotor_dhruv__+10dB,SPK_010,helicopter_rotor_dhruv,PERIODIC_ROTOR,10.0,10.0,8.29,-1.72,13.67,0.8125,1.5211,,0.0737,1,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__helicopter_rotor_dhruv__+10dB,SPK_010,helicopter_rotor_dhruv,PERIODIC_ROTOR,10.0,10.0,7.98,-2.02,17.07,0.8299,1.6773,,0.0696,0,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__helicopter_rotor_dhruv__+10dB,SPK_010,helicopter_rotor_dhruv,PERIODIC_ROTOR,10.0,10.0,9.02,-0.98,8.44,0.8041,1.5323,,0.105,4,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__helicopter_rotor_dhruv__+10dB,SPK_010,helicopter_rotor_dhruv,PERIODIC_ROTOR,10.0,10.0,12.26,2.26,12.09,0.8559,2.0217,,0.1057,3,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_010__propeller_rotor_an32__+10dB,SPK_010,propeller_rotor_an32,PERIODIC_ROTOR,10.0,10.0,10.0,0.0,10.0,0.7904,1.1487,,0.1185,0,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_010__propeller_rotor_an32__+10dB,SPK_010,propeller_rotor_an32,PERIODIC_ROTOR,10.0,10.0,17.96,7.96,17.96,0.813,1.2828,,0.1139,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__propeller_rotor_an32__+10dB,SPK_010,propeller_rotor_an32,PERIODIC_ROTOR,10.0,10.0,8.29,-1.72,13.67,0.8125,1.5211,,0.0737,1,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__propeller_rotor_an32__+10dB,SPK_010,propeller_rotor_an32,PERIODIC_ROTOR,10.0,10.0,7.98,-2.02,17.07,0.8299,1.6773,,0.0696,0,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__propeller_rotor_an32__+10dB,SPK_010,propeller_rotor_an32,PERIODIC_ROTOR,10.0,10.0,9.02,-0.98,8.44,0.8041,1.5323,,0.105,4,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__propeller_rotor_an32__+10dB,SPK_010,propeller_rotor_an32,PERIODIC_ROTOR,10.0,10.0,12.26,2.26,12.09,0.8559,2.0217,,0.1057,3,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_010__vehicle_acceleration_track__-5dB,SPK_010,vehicle_acceleration_track,NON_STATIONARY,-5.0,-5.0,-5.0,0.0,-5.03,0.6191,1.0133,,0.2303,28,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_010__vehicle_acceleration_track__-5dB,SPK_010,vehicle_acceleration_track,NON_STATIONARY,-5.0,-5.0,-0.14,4.85,-0.17,0.6029,1.0169,,0.1609,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__vehicle_acceleration_track__-5dB,SPK_010,vehicle_acceleration_track,NON_STATIONARY,-5.0,-5.0,4.59,9.59,2.74,0.5827,1.0257,,0.0892,1,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__vehicle_acceleration_track__-5dB,SPK_010,vehicle_acceleration_track,NON_STATIONARY,-5.0,-5.0,4.38,9.38,2.44,0.6065,1.0247,,0.0862,1,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__vehicle_acceleration_track__-5dB,SPK_010,vehicle_acceleration_track,NON_STATIONARY,-5.0,-5.0,3.96,8.96,3.45,0.6423,1.026,,0.1277,4,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__vehicle_acceleration_track__-5dB,SPK_010,vehicle_acceleration_track,NON_STATIONARY,-5.0,-5.0,2.51,7.51,2.12,0.6362,1.0265,,0.1369,5,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_010__tactical_siren_sweep__+0dB,SPK_010,tactical_siren_sweep,NON_STATIONARY,0.0,0.0,0.0,0.0,-0.01,0.7297,1.022,,0.1598,0,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_010__tactical_siren_sweep__+0dB,SPK_010,tactical_siren_sweep,NON_STATIONARY,0.0,0.0,8.16,8.16,8.16,0.7313,1.0357,,0.1213,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__tactical_siren_sweep__+0dB,SPK_010,tactical_siren_sweep,NON_STATIONARY,0.0,0.0,8.13,8.13,12.34,0.7479,1.182,,0.0744,1,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__tactical_siren_sweep__+0dB,SPK_010,tactical_siren_sweep,NON_STATIONARY,0.0,0.0,7.73,7.73,13.21,0.7485,1.1731,,0.0707,0,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_010__tactical_siren_sweep__+0dB,SPK_010,tactical_siren_sweep,NON_STATIONARY,0.0,0.0,6.42,6.42,5.7,0.7568,1.1587,,0.1144,4,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_010__tactical_siren_sweep__+0dB,SPK_010,tactical_siren_sweep,NON_STATIONARY,0.0,0.0,12.75,12.75,12.57,0.7749,1.3394,,0.1073,4,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_010__tank_engine_heldout_rec__+10dB,SPK_010,tank_engine_heldout_rec,STATIONARY,10.0,10.0,10.0,0.0,10.0,0.787,1.0611,,0.1185,0,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_010__tank_engine_heldout_rec__+10dB,SPK_010,tank_engine_heldout_rec,STATIONARY,10.0,10.0,11.12,1.12,11.18,0.7895,1.0781,,0.0998,0,0
