sample_id,noise_category,scenario,system_config,delta_snr_db,si_sdr_db,stoi,pesq,nlms_better_than_ai_only
SPK_002__generator_hum_50hz__+15dB,STATIONARY,SPEECH_LEAKAGE,AI_ONLY,-9.98,13.68,0.893,1.16,True
SPK_002__generator_hum_50hz__+15dB,STATIONARY,SPEECH_LEAKAGE,HYBRID_PROTECTED,-11.97,8.82,0.92,1.15,True
SPK_002__generator_hum_50hz__+15dB,STATIONARY,SPEECH_LEAKAGE,NLMS_ONLY,-7.41,9.21,0.92,1.17,True
SPK_002__generator_hum_50hz__+15dB,STATIONARY,IMPULSIVE_SPIKE,AI_ONLY,-13.17,1.66,0.804,1.11,True
SPK_002__generator_hum_50hz__+15dB,STATIONARY,IMPULSIVE_SPIKE,HYBRID_PROTECTED,-10.08,11.01,0.864,1.19,True
SPK_002__generator_hum_50hz__+15dB,STATIONARY,IMPULSIVE_SPIKE,NLMS_ONLY,-14.3,0.7,0.82,1.11,True
SPK_002__helicopter_rotor_dhruv__+0dB,PERIODIC_ROTOR,MATCHED_REFERENCE,AI_ONLY,2.91,-0.13,0.793,1.03,True
SPK_002__helicopter_rotor_dhruv__+0dB,PERIODIC_ROTOR,MATCHED_REFERENCE,HYBRID_PROTECTED,4.73,8.11,0.815,1.04,True
SPK_002__helicopter_rotor_dhruv__+0dB,PERIODIC_ROTOR,MATCHED_REFERENCE,NLMS_ONLY,8.93,8.94,0.816,1.04,True
SPK_002__helicopter_rotor_dhruv__+0dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,AI_ONLY,2.91,-0.13,0.793,1.03,True
SPK_002__helicopter_rotor_dhruv__+0dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,HYBRID_PROTECTED,3.54,6.04,0.812,1.03,True
SPK_002__helicopter_rotor_dhruv__+0dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,NLMS_ONLY,7.39,6.57,0.812,1.04,True
SPK_002__helicopter_rotor_dhruv__+0dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,AI_ONLY,1.63,-2.04,0.722,1.03,True
